127.0.0.1 - - [31/Oct/2023:23:51:31 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:51:32 +0530] "GET /SpringBootProjRest-09_MiniProject_with_postgress/ HTTP/1.1" 404 275
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:51:52 +0530] "GET /SpringBootProjRest-09_MiniProject_with_postgress/book/getBook HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:54:54 +0530] "PATCH /SpringBootProjRest-09_MiniProject_with_postgress/book/updateBook/2/100 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:56:46 +0530] "GET /SpringBootProjRest-09_MiniProject_with_postgress/book/getBook HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:57:10 +0530] "DELETE /SpringBootProjRest-09_MiniProject_with_postgress/book/deleteBookById/2 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:57:18 +0530] "GET /SpringBootProjRest-09_MiniProject_with_postgress/book/getBook HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:58:23 +0530] "PATCH /SpringBootProjRest-09_MiniProject_with_postgress/book/updateBook/5/100 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:58:28 +0530] "GET /SpringBootProjRest-09_MiniProject_with_postgress/book/getBook HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:59:52 +0530] "PATCH /SpringBootProjRest-09_MiniProject_with_postgress/book/updateBook/5/100 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [31/Oct/2023:23:59:56 +0530] "GET /SpringBootProjRest-09_MiniProject_with_postgress/book/getBook HTTP/1.1" 200 205
